_open_time,Open,High,Low,Close,Volume
2022-04-01,428.9,448.2,412.8,447.7,971822.655
2022-04-02,447.8,454.2,435.7,437.2,827864.885
2022-04-03,437.3,455.7,432.2,450.4,676230.892
2022-04-04,450.4,450.5,433.4,447.6,736637.271
2022-04-05,447.6,460.0,444.1,444.7,761168.725
2022-04-06,444.7,448.6,418.3,420.1,928930.806
2022-04-07,420.1,450.0,416.2,436.0,717661.036
2022-04-08,436.1,442.0,418.4,421.5,684600.074
2022-04-09,421.5,428.2,419.6,426.6,356426.659
2022-04-10,426.6,429.5,417.0,418.1,386650.883
2022-04-11,418.1,419.7,391.2,394.6,856354.224
2022-04-12,394.6,417.1,392.4,413.6,729790.918
2022-04-13,413.7,424.6,410.3,423.4,630077.277
2022-04-14,423.4,426.9,411.3,414.7,464220.208
2022-04-15,414.7,420.0,412.5,417.3,331730.773
2022-04-16,417.3,419.0,411.6,417.3,237289.02
2022-04-17,417.3,418.2,405.5,406.6,302390.726
2022-04-18,406.7,418.0,396.2,416.8,628747.772
2022-04-19,416.9,424.7,414.6,422.3,567586.931
2022-04-20,422.3,431.4,414.9,418.4,677255.09
2022-04-21,418.4,426.0,401.2,404.9,771718.154
2022-04-22,404.9,413.9,403.3,406.6,563521.049
2022-04-23,406.6,408.1,397.3,401.1,339347.45
2022-04-24,401.2,405.5,397.1,398.8,322889.805
2022-04-25,398.8,405.7,382.3,404.3,849798.678
2022-04-26,404.4,407.5,380.8,385.9,629808.812
2022-04-27,386.0,394.8,383.3,391.3,567371.495
2022-04-28,391.4,408.6,388.5,407.1,946336.334
2022-04-29,407.2,410.7,389.7,393.0,694888.526
2022-04-30,393.0,399.9,376.3,377.1,574905.822
