_open_time,Open,High,Low,Close,Volume
2025-07-01,154.82,155.64,144.85,146.88,2770862.174
2025-07-02,146.87,154.47,145.85,152.27,2652574.279
2025-07-03,152.28,156.35,149.86,152.36,2686218.205
2025-07-04,152.35,153.88,145.22,147.7,2308086.736
2025-07-05,147.69,148.7,145.9,147.55,1173963.86
2025-07-06,147.55,153.89,146.78,151.86,2486859.718
2025-07-07,151.86,153.6,147.7,148.88,2174727.723
2025-07-08,148.89,152.88,147.85,151.67,2712869.323
2025-07-09,151.68,157.93,150.53,157.05,2907219.748
2025-07-10,157.06,165.43,155.64,164.34,3428382.349
2025-07-11,164.33,168.2,159.54,162.93,4354179.713
2025-07-12,162.92,163.9,157.74,160.69,2043211.942
2025-07-13,160.7,164.19,159.63,161.15,1929745.851
2025-07-14,161.15,168.65,160.61,162.21,3973706.533
2025-07-15,162.21,164.26,157.23,163.98,3665295.753
2025-07-16,163.98,176.0,161.51,173.63,5020288.123
2025-07-17,173.62,178.19,168.71,175.87,4491555.727
2025-07-18,175.88,184.67,173.24,177.28,5191853.168
2025-07-19,177.28,178.61,174.0,176.96,2059315.008
2025-07-20,176.97,183.66,176.33,181.43,3694854.915
2025-07-21,181.44,199.28,178.25,195.72,6495907.179
2025-07-22,195.72,206.3,193.75,205.7,8635627.173
2025-07-23,205.7,205.75,183.97,189.4,5548137.499
2025-07-24,189.4,191.87,179.21,182.87,5217064.871
2025-07-25,182.88,186.85,175.63,186.76,4481310.44
2025-07-26,186.75,189.78,184.29,184.88,1773453.875
2025-07-27,184.89,190.7,184.53,188.64,2233060.133
2025-07-28,188.64,195.26,182.16,183.11,4067872.127
2025-07-29,183.1,186.68,178.3,181.48,2541912.036
2025-07-30,181.47,182.56,170.29,177.77,3297250.187
2025-07-31,177.77,182.7,171.44,172.22,2624841.783
